t,press,temp,fm,ax,ay,az,avx,avy,avz,q0,q1,q2,q3,ax,ay,az,vx,xy,vz,x,y,z
0.580295,1020.113281,56.408333,0, -0.047856,-9.982856,-0.124427, 0.027433,-0.004528,0.006658, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.176856,0.124427, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.590296,1020.113281,56.408333,0, -0.043071,-10.025927,-0.181855, 0.027965,-0.003729,0.008256, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.219927,0.181855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.600296,1020.059814,56.402084,0, -0.071785,-9.987642,-0.143569, 0.027433,0.000000,0.005060, 0.000000,1.000000,0.000000,0.000000, -0.071785,0.181643,0.143569, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.610299,1020.059814,56.402084,0, -0.038285,-10.001998,-0.095713, 0.028764,-0.003995,0.004794, 0.000000,1.000000,0.000000,0.000000, -0.038285,0.195998,0.095713, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.620299,1020.059814,56.402084,0, -0.052642,-9.982856,-0.148355, 0.025835,-0.000266,0.006925, 0.000000,1.000000,0.000000,0.000000, -0.052642,0.176856,0.148355, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.630300,1020.059814,56.402084,0, -0.047856,-10.025927,-0.119641, 0.021573,0.000533,0.003729, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.219927,0.119641, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.640300,1020.147705,56.402084,0, -0.105284,-9.992427,-0.162712, 0.024503,-0.001332,0.005859, 0.000000,1.000000,0.000000,0.000000, -0.105284,0.186427,0.162712, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.650301,1020.147705,56.402084,0, -0.014357,-9.997213,-0.181855, 0.018644,-0.002131,0.008256, 0.000000,1.000000,0.000000,0.000000, -0.014357,0.191214,0.181855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.660301,1020.147705,56.402084,0, -0.004786,-9.992427,-0.153141, 0.017845,0.000533,0.007724, 0.000000,1.000000,0.000000,0.000000, -0.004786,0.186427,0.153141, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.670301,1020.147705,56.402084,0, -0.066999,-9.973285,-0.200997, 0.024503,-0.000533,0.016513, 0.000000,1.000000,0.000000,0.000000, -0.066999,0.167285,0.200997, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.680301,1020.147705,56.402084,0, -0.086142,-10.011570,-0.191426, 0.019975,-0.008256,0.007457, 0.000000,1.000000,0.000000,0.000000, -0.086142,0.205570,0.191426, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.690301,1020.096680,56.410416,0, -0.004786,-10.025927,-0.267996, 0.024769,0.002930,0.010920, 0.000000,1.000000,0.000000,0.000000, -0.004786,0.219927,0.267996, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.700302,1020.096680,56.410416,0, -0.057428,-10.016355,-0.272782, 0.025835,0.001065,0.010653, 0.000000,1.000000,0.000000,0.000000, -0.057428,0.210355,0.272782, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.710304,1020.096680,56.410416,0, -0.028714,-10.011570,-0.220140, 0.026367,-0.000533,0.017312, 0.000000,1.000000,0.000000,0.000000, -0.028714,0.205570,0.220140, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.720304,1020.096680,56.410416,0, 0.000000,-10.016355,-0.258425, 0.030362,0.002663,0.006925, 0.000000,1.000000,0.000000,0.000000, 0.000000,0.210355,0.258425, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.730305,1020.081299,56.410416,0, -0.023928,-9.982856,-0.258425, 0.026634,-0.000266,0.008523, 0.000000,1.000000,0.000000,0.000000, -0.023928,0.176856,0.258425, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.740307,1020.081299,56.410416,0, 0.023928,-9.997213,-0.229711, 0.027965,-0.005859,0.012518, 0.000000,1.000000,0.000000,0.000000, 0.023928,0.191214,0.229711, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.750309,1020.081299,56.410416,0, 0.009571,-9.987642,-0.196211, 0.032493,-0.003196,0.009322, 0.000000,1.000000,0.000000,0.000000, 0.009571,0.181643,0.196211, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.760311,1020.081299,56.410416,0, -0.023928,-9.997213,-0.162712, 0.025036,0.001598,0.015714, 0.000000,1.000000,0.000000,0.000000, -0.023928,0.191214,0.162712, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.770313,1020.030029,56.408333,0, -0.043071,-10.016355,-0.066999, 0.024503,0.001864,0.018377, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.210355,0.066999, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.780313,1020.030029,56.408333,0, 0.000000,-10.001998,-0.153141, 0.026634,-0.001864,0.015181, 0.000000,1.000000,0.000000,0.000000, 0.000000,0.195998,0.153141, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.790316,1020.030029,56.408333,0, -0.038285,-9.987642,-0.133998, 0.023704,-0.006126,0.015448, 0.000000,1.000000,0.000000,0.000000, -0.038285,0.181643,0.133998, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
